,year,price,mileage,engine_size,Automatic,Manual,Other,Semi-Auto,Diesel,Hybrid,fuel_type_Other,Petrol
386,2016,17880,44641,21.0,1,0,0,0,1,0,0,0
387,2016,13660,26682,21.0,0,1,0,0,1,0,0,0
388,2016,23920,18865,21.0,1,0,0,0,1,0,0,0
389,2017,22960,21225,21.0,0,0,0,1,1,0,0,0
390,2017,16590,52519,16.0,0,0,0,1,1,0,0,0
391,2017,17990,42000,21.0,0,0,0,1,1,0,0,0
392,2019,22270,3233,16.0,1,0,0,0,0,0,0,1
393,2016,22680,28535,21.0,0,0,0,1,1,0,0,0
394,2017,22440,32629,21.0,0,0,0,1,1,0,0,0
395,2016,17820,30748,21.0,0,0,0,1,1,0,0,0
396,2016,19290,17600,21.0,0,0,0,1,1,0,0,0
397,2016,16390,31360,21.0,0,0,0,1,1,0,0,0
398,2016,14450,19598,2.0,0,0,0,1,0,0,0,1
399,2016,17250,28192,21.0,1,0,0,0,1,0,0,0
400,2016,19690,38087,21.0,0,0,0,1,1,0,0,0
401,2017,19250,23523,21.0,0,0,0,1,1,0,0,0
402,2019,21980,7716,15.0,1,0,0,0,0,0,0,1
403,2019,23990,1647,15.0,1,0,0,0,0,0,0,1
404,2019,21980,5572,15.0,0,0,0,1,0,0,0,1
405,2019,27990,101,2.0,1,0,0,0,1,0,0,0
406,2015,16998,66796,21.0,0,0,0,1,0,1,0,0
407,2016,19698,41056,21.0,0,0,0,1,1,0,0,0
408,2015,15498,32140,21.0,0,1,0,0,1,0,0,0
409,2020,67999,1500,4.0,0,0,0,1,0,0,0,1
410,2020,34999,1500,15.0,0,0,0,1,0,0,0,1
411,2016,21299,12249,2.0,0,0,0,1,0,0,0,1
412,2017,17999,37564,2.0,0,0,0,1,0,1,0,0
413,2019,19999,14360,15.0,0,0,0,1,0,0,0,1
414,2017,21999,10288,2.0,0,0,0,1,0,0,0,1
415,2016,17699,43236,21.0,0,0,0,1,1,0,0,0
416,2016,14580,33113,21.0,0,0,0,1,1,0,0,0
417,2017,23990,19784,2.0,0,0,0,1,0,0,0,1
418,2019,28660,1610,2.0,1,0,0,0,1,0,0,0
419,2017,19490,31326,21.0,0,0,0,1,1,0,0,0
420,2017,21770,32790,21.0,0,0,0,1,1,0,0,0
421,2019,25990,11728,2.0,0,0,0,1,1,0,0,0
422,2019,28660,6282,2.0,1,0,0,0,1,0,0,0
423,2017,22590,41131,21.0,0,0,0,1,1,0,0,0
424,2017,22770,14052,21.0,1,0,0,0,1,0,0,0
425,2015,16480,44929,21.0,1,0,0,0,1,0,0,0
426,2018,27698,10579,2.0,0,0,0,1,1,0,0,0
427,2017,16499,30536,2.0,0,0,0,1,0,0,0,1
428,2019,19895,10985,15.0,0,0,0,1,0,0,0,1
429,2019,27595,11480,2.0,0,0,0,1,1,0,0,0
430,2019,25795,12986,2.0,0,0,0,1,1,0,0,0
431,2019,24499,3984,15.0,0,0,0,1,0,0,0,1
432,2019,30495,8771,2.0,0,0,0,1,0,0,0,1
433,2019,29999,1683,2.0,0,0,0,1,1,0,0,0
434,2018,27495,16347,2.0,0,0,0,1,1,0,0,0
435,2019,21795,6959,16.0,0,1,0,0,0,0,0,1
436,2013,9881,50591,16.0,1,0,0,0,0,0,0,1
437,2015,13498,14480,2.0,0,1,0,0,0,0,0,1
438,2019,24450,10471,2.0,0,0,0,1,1,0,0,0
439,2015,17450,37000,21.0,0,0,0,1,1,0,0,0
440,2016,14450,34000,21.0,0,0,0,1,1,0,0,0
441,2017,24990,22369,21.0,0,0,0,1,1,0,0,0
442,2015,16440,29286,21.0,0,0,0,1,1,0,0,0
443,2014,9891,52500,21.0,0,0,0,1,1,0,0,0
444,2015,16998,26273,2.0,0,0,0,1,0,0,0,1
445,2015,16710,48123,21.0,0,0,0,1,1,0,0,0
446,2017,22495,19779,21.0,1,0,0,0,1,0,0,0
447,2017,21565,39447,2.0,1,0,0,0,0,0,0,1
448,2017,21697,28272,2.0,0,0,0,1,0,0,0,1
449,2016,20990,20972,21.0,0,0,0,1,1,0,0,0
450,2016,14770,21745,2.0,0,0,0,1,0,0,0,1
451,2015,13448,31878,21.0,0,0,0,1,1,0,0,0
452,2014,15998,34382,21.0,0,0,0,1,1,0,0,0
453,2018,27498,12170,2.0,0,0,0,1,1,0,0,0
454,2016,19498,24111,2.0,0,0,0,1,0,1,0,0
455,2017,22498,22888,21.0,0,0,0,1,1,0,0,0
456,2016,20105,14965,21.0,1,0,0,0,1,0,0,0
457,2016,14220,45868,21.0,0,0,0,1,1,0,0,0
458,2017,22260,27637,21.0,0,0,0,1,1,0,0,0
459,2014,16990,32475,21.0,0,0,0,1,1,0,0,0
460,2019,41880,151,3.0,1,0,0,0,0,0,0,1
461,2019,30990,151,2.0,1,0,0,0,1,0,0,0
462,2019,28880,7324,15.0,1,0,0,0,0,0,0,1
463,2019,28990,2501,2.0,1,0,0,0,1,0,0,0
464,2016,18700,33237,21.0,0,0,0,1,1,0,0,0
465,2017,17440,63019,21.0,0,0,0,1,1,0,0,0
466,2016,17770,27306,21.0,0,0,0,1,1,0,0,0
467,2017,18433,34278,21.0,0,0,0,1,1,0,0,0
468,2016,21440,26600,21.0,0,0,0,1,1,0,0,0
469,2017,22170,19155,21.0,0,0,0,1,1,0,0,0
470,2017,21115,31538,21.0,0,0,0,1,1,0,0,0
471,2019,21497,3539,16.0,0,0,0,1,1,0,0,0
472,2019,28400,1287,2.0,0,0,0,1,1,0,0,0
473,2016,22765,25178,21.0,1,0,0,0,1,0,0,0
474,2018,22880,23061,21.0,0,0,0,1,1,0,0,0
475,2019,22455,3761,15.0,1,0,0,0,0,0,0,1
476,2017,17330,22684,21.0,0,0,0,1,1,0,0,0
477,2017,18795,46294,21.0,1,0,0,0,1,0,0,0
478,2016,15220,39656,21.0,0,0,0,1,1,0,0,0
479,2017,21440,13096,21.0,0,0,0,1,1,0,0,0
480,2017,20200,21462,21.0,0,0,0,1,1,0,0,0
481,2018,19660,5232,16.0,0,0,0,1,1,0,0,0
482,2017,22990,15527,21.0,0,0,0,1,1,0,0,0
483,2018,22770,21200,21.0,0,0,0,1,1,0,0,0
484,2018,19775,45335,21.0,0,0,0,1,1,0,0,0
485,2017,24660,9873,21.0,0,0,0,1,1,0,0,0
486,2017,33495,22574,4.0,0,0,0,1,0,0,0,1
487,2019,26890,1705,16.0,0,0,0,1,0,0,0,1
488,2019,26885,2622,16.0,0,0,0,1,0,0,0,1
489,2019,34790,5298,2.0,0,0,0,1,1,0,0,0
490,2017,18495,22994,2.0,0,0,0,1,0,0,0,1
491,2016,15699,30301,21.0,0,0,0,1,1,0,0,0
492,2017,18499,28480,16.0,0,0,0,1,1,0,0,0
